Email_ID,Subject,Body,Category
132,Flash Deal Ending Soon,Our flash deal ends soon. Shop now to save big!,Spam
133,Monthly Summary Report,The monthly summary report is ready for your review.,Important
134,Limited-Time Offer: Free Gift,Receive a free gift with your purchase today!,Spam
135,Meeting Confirmation,Your meeting has been confirmed for tomorrow at 2 PM.,Important
136,Exclusive Deal for Subscribers,Check out this exclusive deal available only for subscribers!,Spam
137,Your Payment Confirmation,Your recent payment has been successfully processed.,Important
138,Special Promotion: 30% Off,Enjoy a 30% discount on your next purchase with this promo code.,Spam
139,Job Application Update,We have received your job application and will review it soon.,Important
140,Free Sample Available,Claim your free sample by signing up on our website.,Spam
141,Client Feedback Needed,Please provide feedback on the recent client project.,Important
142,Limited-Time Flash Sale,Don’t miss our limited-time flash sale with discounts on all items!,Spam
143,Your Account Activity Alert,We noticed unusual activity on your account. Please review.,Important
144,Special Offer on New Arrivals,Get a discount on our new arrivals for a limited time!,Spam
145,Upcoming Workshop Details,Here are the details for the upcoming workshop.,Important
146,Exclusive Discount for Members,Enjoy an exclusive discount available only for members!,Spam
147,Order Confirmation,Thank you for your order. Your confirmation is attached.,Important
148,Seasonal Sale Announcement,Our seasonal sale starts today with up to 50% off!,Spam
149,Feedback Survey Invitation,We invite you to take part in our feedback survey.,Important
150,Flash Sale Today,Shop our flash sale today and save up to 60%!,Spam
151,Your Subscription Status,Your subscription status has been updated.,Important
152,Special Offer for New Customers,New customers receive a special offer on their first purchase!,Spam
153,Project Deadline Reminder,Reminder: The project deadline is approaching.,Important
154,Limited-Time Discount Code,Use this discount code for a limited-time offer.,Spam
155,Upcoming Event Confirmation,Your registration for the upcoming event is confirmed.,Important
156,Exclusive Online Discount,Enjoy an exclusive discount available only online!,Spam
157,Your Invoice Update,Your invoice has been updated. Please review the changes.,Important
158,Special Sale on Electronics,Save on electronics during our special sale event!,Spam
159,Client Meeting Reminder,Reminder: You have a client meeting scheduled for tomorrow.,Important
160,Seasonal Promotion Announcement,Our seasonal promotion is here with great discounts!,Spam
161,Your Recent Order Confirmation,Here is the confirmation for your recent order.,Important
162,Free Gift with Subscription,Subscribe now and receive a free gift!,Spam
163,Job Interview Confirmation,Your job interview has been confirmed for next week.,Important
164,Exclusive Offer for Returning Customers,Returning customers get an exclusive offer just for you!,Spam
165,Monthly Performance Review,Your monthly performance review is now available.,Important
166,Limited-Time Flash Deal,Our flash deal ends soon. Don’t miss out!,Spam
167,New Product Offer,Check out our new product and enjoy a special offer!,Important
168,Special Discount for Subscribers,Subscribers receive a special discount on all orders!,Spam
169,Your Order Status,Your order status has been updated. Check your account for details.,Important
170,Seasonal Sale Alert,Our seasonal sale is live with huge discounts!,Spam
171,Client Feedback Request,We need your feedback on our recent client project.,Important
172,Flash Sale Ending Soon,Our flash sale is ending soon. Shop now to save!,Spam
173,Subscription Renewal Reminder,Reminder: Your subscription will renew next month.,Important
174,Exclusive VIP Sale,Join our exclusive VIP sale event and save big!,Spam
175,Your Purchase Receipt,Here is the receipt for your recent purchase.,Important
176,Special Offer: Buy 2 Get 1 Free,Buy two items and get one free for a limited time!,Spam
177,Upcoming Workshop Reminder,Reminder: The workshop is happening this Saturday.,Important
178,Limited-Time Online Offer,Take advantage of our limited-time online offer!,Spam
179,Monthly Account Update,Your monthly account update is ready for review.,Important
180,Special Promotion for Subscribers,Subscribers get an exclusive promotion on all orders!,Spam
181,Your Invoice is Ready,Your invoice is available for download.,Important
182,Exclusive Online Event,You’re invited to our exclusive online event next week!,Spam
183,Client Meeting Follow-Up,Following up on our recent client meeting. Please review.,Important
184,Special Discount for Members,Members get a special discount on their next purchase!,Spam
185,Order Confirmation,Your order has been confirmed. Thank you for shopping with us.,Important
186,Seasonal Sale Notification,Our seasonal sale starts now with great discounts!,Spam
187,Feedback Request,We value your feedback on our recent service.,Important
188,Flash Sale Today,Shop our flash sale today and get up to 70% off!,Spam
189,Your Subscription Status Update,Your subscription status has been updated.,Important
190,Exclusive Offer for New Subscribers,New subscribers receive an exclusive offer on their first order!,Spam
191,Job Application Status,We have reviewed your application and will contact you soon.,Important
192,Free Sample Offer,Get a free sample by signing up on our website.,Spam
193,Client Feedback Needed,Please provide your feedback on our recent service.,Important
194,Limited-Time Flash Sale,Don’t miss out on our limited-time flash sale!,Spam
195,Your Account Activity Report,Your account activity report is available for review.,Important
196,Special Discount on New Products,Get a discount on our new products for a limited time!,Spam
197,Upcoming Workshop Details,Details for the upcoming workshop are now available.,Important
198,Exclusive Member Sale,Enjoy an exclusive sale available only to members!,Spam
199,Order Confirmation,Your order confirmation is attached. Thank you!,Important
200,Seasonal Sale Announcement,Our seasonal sale starts today with up to 50% off!,Spam
